Country Name,Year,"Agriculture, forestry, and fishing, value added (% of GDP)",carbon_emissions,Electric power consumption (kWh per capita),Electricity production from hydroelectric sources (% of total),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),"Energy imports, net (% of energy use)",Fossil fuel energy consumption (% of total),"Industry (including construction), value added (% of GDP)",Renewable energy consumption (% of total final energy consumption),Trade (% of GDP),Urban population (% of total population)
Argentina,2012,5.7817442068501,4.47886128746974,2917.62283612664,27.3052668714813,49.7596613209073,4.70020138470358,8.11439908863806,89.9402874146777,24.4290570649122,8.6,30.5265423717108,91.2041217246797
Argentina,2013,6.05291843670451,4.53658672333476,2940.92954480901,29.8801867108348,47.7252683430489,4.45051517563295,13.9862181852131,89.9321041467291,24.0058814423072,8.9,29.3339290021037,91.3014507719473
Argentina,2014,6.71270351428559,4.41674615124171,3036.20733612121,29.8955086017781,49.2769310703152,3.97904399030135,14.0678103429199,92.3836622192159,24.2773944936602,9.8,28.4067936452275,91.3975345472954
Argentina,2015,5.1566859021408,4.51258701954955,3140.46420669387,28.2233390857151,48.5125165867979,4.83956355235928,13.5477809878759,56.2877376502912,23.153056135905,9.4,22.4862260889792,91.4923019108628
Argentina,2016,6.26456582010254,4.4223010437306,3104.98925144338,25.675859258253,51.8183670696916,5.62763211520174,11.9993689573056,0.0,22.0541072112108,9.4,26.0938878488799,91.5856817228217
Argentina,2017,5.23162237725058,4.32102910494897,3005.76483124641,27.6166543077641,57.2471231221334,4.19722062014226,13.2189146873857,0.0,21.782123219335,10.4,25.2896011376779,91.6776028433824
Argentina,2018,4.53787889681146,4.25075806940885,2971.34364838317,27.7302452316076,59.4039509536785,4.70095367847411,8.60875532272658,0.0,23.7195923321304,10.5,30.7625359549926,91.7679941327998
Argentina,2019,5.3185559967348,4.07504069344001,2876.71852724712,25.0066282110996,60.1906058543227,6.07502418401347,2.49167707965442,0.0,23.1578477391434,10.7,32.6306150458499,91.8567844513802
Argentina,2020,6.35703367575527,3.72002854932287,2827.42739776861,21.0892679568576,56.4028566858828,7.44490726897214,1.22800616932178,0.0,22.4088763711802,9.8,30.203698807416,91.9439026594897
Argentina,2021,7.29128249622041,4.09769704597303,2942.91077511635,16.4741903263502,55.1766234274933,7.10084280482311,5.96636808897159,0.0,23.4994644263761,9.2,33.078689567466,92.0292776175651
Armenia,2012,17.9126819526397,1.87480572732383,1804.50381931814,28.8949726231956,42.297162767546,28.7580886012942,74.3403810595709,77.3222424600036,27.8270946139077,6.6,75.9616759606704,64.3268379506998
Armenia,2013,18.4347628834968,1.81763732627399,1851.75380542687,28.1841763942931,41.1543450064851,30.609597924773,73.6822602294154,75.4886876703517,26.7090481417071,6.8,77.5550481598824,64.3584061131466
Armenia,2014,18.0720363470662,1.91144070608534,1895.28170416086,25.7065427797135,42.4312814556717,31.8105562008001,71.6592288400781,69.982208305614,25.2705329463993,7.1,75.778866962639,64.4142934233291
Armenia,2015,17.2231200318056,1.86953338214737,1909.40557811356,28.2856776509809,35.9148608795999,35.7481728426721,67.6293163476974,63.48193418408,25.7086994351611,10.7,71.6820743427575,64.4929623431549
Armenia,2016,16.39047353385,1.79624369214317,1889.85061658256,32.1394395078606,35.2836637047163,32.5358851674641,68.2448098805489,0.0,25.5771330395605,13.2,76.0779674593548,64.5928753345316
Armenia,2017,14.9942601242776,1.90951198227831,2006.10861247231,29.2208628461043,36.973599484868,33.7282678686413,68.960568280661,0.0,25.8095323791656,12.6,87.202376539837,64.7124948593667
Armenia,2018,13.9423116554146,2.00458066689121,1938.69989895588,29.7522782697985,43.3192144782441,26.6461301501733,72.731773920089,0.0,24.7565578476257,11.1,92.473107021212,64.8502833795679
Armenia,2019,11.5256107379588,2.16867510548523,2084.05063291139,30.8633936710509,39.6666232582367,28.610496158354,74.1707853018448,0.0,24.9716084573435,10.3,97.847004865327,65.0047033570428
Armenia,2020,11.3498051554549,2.33479655579943,2114.13135235523,22.6843582546568,40.3801990303649,35.1620311303904,74.1472665445986,0.0,26.8172956979296,8.4,70.1213571368789,65.174217253699
Armenia,2021,11.3435484176857,2.51946122945009,2262.09364345272,27.9350171341541,42.9369209290519,25.3585480390913,78.9045161126683,0.0,26.3643404113901,9.1,79.2489057647112,65.3572875314441
Australia,2001,3.50187086251559,18.6995326153179,10712.6953616557,7.53800609878247,7.68847241079974,0.0,-126.513619589279,98.047039481528,23.5866945838107,8.4,44.1337313971929,85.1481094164726
Australia,2002,3.94425123897134,18.9093269577501,10860.6165309325,7.05499769286546,13.9438816989299,0.0,-130.62417241528,98.2353774183339,23.5551713442922,8.7,41.3813128146921,85.2842102783464
Australia,2003,2.88733584935682,18.6676694689453,10524.4038293295,7.46822945444335,13.3042273167815,0.0,-125.288697474724,93.9279842959948,23.9917259622795,7.2,40.1348011794482,85.4097077818668
Australia,2004,3.05821916621123,19.1634087908315,10659.607854863,7.14911090293039,13.5352005393243,0.0,-125.872031210017,94.078746859524,23.8819093880673,6.7,36.9505159618289,85.518767609412
Australia,2005,2.88921493532413,19.0378039300894,10556.3090045202,6.82790290837525,10.4102339820687,0.0,-131.07466643319,94.2107666945866,24.5233189129708,6.7,39.0978822564811,85.6190871221958
Australia,2006,2.74011319183189,19.0793285754815,10597.6901042229,6.88442211055276,9.76076966026715,0.0,-123.806910241922,94.3348375489683,25.4872372064967,6.8,41.4878923489153,85.7492544263523
Australia,2007,2.21281034154067,19.2389222350972,10899.9001422246,5.97021677352492,13.0981217896256,0.0,-127.764290888944,94.5279081721256,25.5716480180669,7.0,41.9297451276561,85.8968519574969
Australia,2008,2.35417910776003,19.02811960112,10718.0040057039,4.95721997689344,14.3717031012947,0.0,-123.534610231999,94.5650942930512,25.5090768525458,6.8,42.7522207880308,86.0253816967666
Australia,2009,2.31423570641201,18.9151698120932,10852.238877323,4.78276287263965,16.1475165416139,0.0,-128.476617177707,95.8145618949755,26.9775545923991,7.1,45.5936120867789,86.1278139101818
Australia,2010,2.21824837320556,18.8509537372201,10797.8712539857,5.36252132303759,17.6461741226386,0.0,-146.708346775748,94.9191122643155,25.108230070574,8.2,40.3905070860606,86.2198600512143
Australia,2011,2.30485962261499,18.480821685778,10786.2910084609,6.61990027020001,19.2988191550538,0.0,-141.942926034157,95.193382300112,26.461435749675,8.3,41.7219860149689,86.3268946146423
Australia,2012,2.27317856495351,18.1834489375025,10486.5668300015,5.61075697211155,19.3513944223108,0.0,-149.195380388504,95.0858882901384,26.3333149596521,8.3,43.0198495527558,86.4451259136625
Australia,2013,2.29076813252161,17.5432435542019,10298.9307954829,7.32296814689225,20.4634272452894,0.0,-164.691774053304,92.6074388252159,25.1836151421438,9.2,41.100511881056,86.5740515760243
