Country Name,Year,Access to electricity (% of population),"Agriculture, forestry, and fishing, value added (% of GDP)",Electric power consumption (kWh per capita),Electricity production from coal sources (% of total),Electricity production from hydroelectric sources (% of total),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),"Energy imports, net (% of energy use)",Fossil fuel energy consumption (% of total),GDP (constant LCU),"Net trade in goods and services (BoP, current US$)",Urban population
Bahrain,2007,100.0,0.29227169028013,20525.4523499103,0.0,0.0,98.8355502370323,0.0,-53.5280275603182,94.9769950255127,8867294300.0,4688031914.89361,981723.0
Bahrain,2008,100.0,0.264810236570707,18677.9109303523,0.0,0.0,99.978093235191,0.0,-45.866587510058,99.575925949738,9421057800.0,4955053191.48936,1063176.0
Bahrain,2009,100.0,0.337284356568349,17558.3304693168,0.0,0.0,100.0,0.0,-54.7283369953977,99.4451808647898,9660341900.0,4350797872.34042,1158709.0
Bahrain,2011,100.0,0.279873967809159,19158.6751686164,0.0,0.0,100.0,0.0,-58.3146936157164,98.5804334502805,10273390000.0,9061702127.65957,1195020.0
Bahrain,2013,100.0,0.264280047210277,19615.525486538,0.0,0.0,99.972989658898,0.0,-54.383115780032,98.8397187677929,11228500000.0,5771542553.19149,1253191.0
Bahrain,2015,100.0,0.301911232209971,20288.6620808832,0.0,0.0,99.9684033141413,0.0,-57.3617376243512,1.88319353432749,12006050000.0,3351063829.78722,1370322.0
Bahrain,2016,100.0,0.315996684624948,19531.1457401213,0.0,0.0,99.9929849175728,0.0,-57.2901895719304,0.0,12464080000.0,2694148936.1702,1423726.0
Bahrain,2017,100.0,0.27707464645461,18552.197165309,0.0,0.0,99.9931565440548,0.0,-56.809980288761,0.0,13081530000.0,2855585106.38297,1501116.0
Bahrain,2018,100.0,0.275112316804637,19439.9407620696,0.0,0.0,99.9627812552868,0.0,-53.6005426856606,0.0,13350040000.0,2910372340.42554,1503091.0
Bahrain,2019,100.0,0.268674381904261,21808.1679197927,0.0,0.0,99.9607286348669,0.0,-53.4306266212537,0.0,13624100000.0,4356382978.7234,1483756.0
Bahrain,2020,100.0,0.303155113748103,21442.6804980831,0.0,0.0,99.9340962195195,0.0,-51.9013900994723,0.0,12818730000.0,1952393617.02127,1472204.0
Bahrain,2021,100.0,0.268626041292218,22118.967138959,0.0,0.0,99.8775260257195,0.0,-50.2263325786432,0.0,13376350000.0,7657180851.06383,1504365.0
Bolivia,2001,69.3,13.2556536661742,404.444964408843,0.0,53.4790253705099,43.9839236372771,0.0,-82.3824401382299,75.7164290872027,156034986200.326,-458745530.02828,5456235.0
Bolivia,2002,64.0,12.955118631021,418.185566755483,0.0,52.6403823178017,44.8506571087216,0.0,-73.4901770555421,79.9330904666054,159913338356.362,-516682880.938109,5591093.0
Bolivia,2003,72.3,13.4272369562791,427.701724728474,0.0,45.6886640607036,51.7590250632329,0.0,-94.1611498477105,82.2060925753626,164249132403.906,-86907789.367575,5728357.0
Bolivia,2004,75.9,13.3223836388477,438.925904852815,0.0,47.3348017621145,50.1762114537445,0.0,-145.621466124392,80.7252443168108,171103734201.755,231061237.172873,5868328.0
Bolivia,2005,68.3,11.7927215329112,467.163222107963,0.0,39.9755750050885,57.5819255037655,0.0,-163.59352729856,81.4267203604109,178668971387.08,414848470.908809,6010850.0
Bolivia,2007,80.2,10.011155665672,497.730736034425,0.0,42.5348495964784,54.567131327953,0.0,-180.911409918285,78.6688192777947,195786078842.585,814530371.934917,6306212.0
Bolivia,2008,84.7,10.4424041155226,533.760612527356,0.0,38.8627187079408,58.3277254374159,0.0,-183.610356705548,82.5467326695576,207823981739.027,1244957796.03459,6456728.0
Bolivia,2009,86.8,11.1524074497311,550.304379622165,0.0,36.8539325842697,60.1123595505618,0.0,-136.60464075814,80.8979146423488,214800631921.311,274170000.0,6608557.0
Bolivia,2010,88.0,10.3899057010594,578.255794711336,0.0,32.7087393194424,64.0833458252136,0.0,-148.351640109653,82.6197262027339,223664858124.54,681407338.7748,6761848.0
Bolivia,2011,88.3,9.7695858816954,610.787840944701,0.0,32.9773781087537,64.1000421525924,0.0,-148.439247371952,81.9773268672141,235304584104.038,345773475.203279,6916574.0
Bolivia,2012,90.4,9.8121619148328,635.329271448211,0.0,31.6256555062525,65.0800053785128,0.0,-160.638050669679,87.5929014280859,247357533356.379,2339083705.35129,7072737.0
Bolivia,2013,89.5,9.9669794768463,666.878350305469,0.0,32.3424342944629,64.0597091094667,0.0,-191.992250565064,87.9208726036973,264167979591.566,1691971936.9631,7228889.0
Bolivia,2014,90.0,9.74021753770169,695.647332703591,0.0,27.1139484461576,69.0315586605637,0.0,-179.200451039541,85.3059420172082,278593055730.687,1082959462.10384,7381304.0
Bolivia,2015,91.5,10.2394941144455,746.547456332239,0.0,27.2546198959832,68.1088856921545,0.0,-174.583824385328,43.4560902812959,292124841917.212,-1979737198.24535,7533596.0
Bolivia,2016,91.8,11.1718754150532,761.447653939796,0.0,18.4688070439171,77.0428433372705,0.0,-149.600133837234,0.0,304580814000.124,-2514014188.13786,7685664.0
Bolivia,2017,91.8,7.67713722474752,772.879612100467,0.0,23.2072334234047,72.4797339430472,0.0,-132.556085404388,0.0,317358607600.0,-2173220117.97295,7837272.0
