Country Name,Year,Access to electricity (% of population),"Agriculture, forestry, and fishing, value added (% of GDP)",carbon_emissions,Electric power consumption (kWh per capita),Electricity production from coal sources (% of total),Electricity production from hydroelectric sources (% of total),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),"Energy imports, net (% of energy use)",Fossil fuel energy consumption (% of total),GDP (constant LCU),"Net trade in goods and services (BoP, current US$)",Urban population
Austria,2015,100.0,1.14362854172989,67.3632,8318.46625689498,7.74897012205394,62.1617482656702,11.7352486255532,0.0,62.1474208451196,65.7446718554832,372754004000.0,13558003183.9384,5838802.0
Austria,2016,100.0,1.14928264077268,67.7745,8255.77897660756,5.81044679978919,62.9618785500966,12.4246061954676,0.0,64.113786345696,0.0,380646025000.0,14270103560.1122,5916629.0
Austria,2017,100.0,1.19990203076681,70.0851,8458.13489776604,5.48763389602378,59.1315686164545,15.3006000785149,0.0,65.9463812391604,0.0,389295254000.0,12156728045.6644,5973998.0
Austria,2018,100.0,1.10911414021412,67.2508,8396.45084265961,5.27420318579944,60.0711194018975,14.4526866519959,0.0,66.5257775487766,0.0,398966209000.0,13361198807.8664,6020808.0
Austria,2019,100.0,1.04463413653499,68.7767,8339.93999945946,4.59762373036614,59.5468383759463,15.2423417840882,0.0,74.4762818960772,0.0,405967971000.0,15502338073.3493,6066549.0
Austria,2020,100.0,1.07138113272871,62.9162,8025.46724947246,3.24705752639268,62.492075305273,13.7186802282312,0.0,59.7668768093559,0.0,380317879000.0,14078374655.3191,6111709.0
Austria,2021,100.0,1.2152388657488,66.2034,8381.61025757953,3.04850472044774,60.1206964780372,15.0050879077393,0.0,53.152930168409,0.0,399041277000.0,3788251302.88609,6159224.0
Azerbaijan,2001,98.6,14.8374595530138,27.7171,2106.47006608147,0.0,6.85819715340011,59.388508170796,0.0,-68.8580860014022,98.3747650227007,7426581400.0,238833000.0,4149567.0
Azerbaijan,2002,100.0,13.9546391752577,27.4864,1996.70825200839,0.0,10.8015614138281,58.2268327896904,0.0,-71.8885831391409,97.2976213892592,8127570200.0,-454039000.0,4185217.0
Azerbaijan,2003,98.8,12.4256629119149,29.7755,2235.45985596483,0.0,11.5991731654609,52.7060039462558,0.0,-61.7063484269366,96.932815243922,8957256900.0,-1712980000.0,4259154.0
Azerbaijan,2004,99.0,10.9880190382406,29.5011,2281.94787214832,0.0,12.670161883738,59.0599705665931,0.0,-55.1787255183956,97.1179684565971,9786143700.0,-2077108000.0,4342904.0
Azerbaijan,2005,99.1,9.14753443801158,31.2193,2388.38873430769,0.0,13.1558237145855,61.17086393844,0.0,-93.9516932270916,97.1003320240447,12522500000.0,1329081000.0,4405961.0
Azerbaijan,2006,99.5,7.09103711685568,31.9395,2552.28621435433,0.0,10.2595444729658,64.8453734262315,0.0,-182.88922536622,97.5880730638652,16838531100.0,5821918000.0,4467456.0
Azerbaijan,2007,99.5,6.54008215652051,28.9209,2118.21052754245,0.0,10.8207076486474,70.9067606536367,0.0,-323.147547736931,94.5604492916688,21126162600.0,13093253000.0,4533343.0
Azerbaijan,2008,99.7,5.57089184098542,32.2309,2040.76043544743,0.0,10.3128032158204,81.735434089544,0.0,-326.673374876152,94.1570500261843,23363726900.0,20668404000.0,4650150.0
